,date,ML,Low,High
Andalucía,2020-03-12,2.0,0.34,6.43
Andalucía,2020-03-13,1.8800000000000001,0.38,5.01
Andalucía,2020-03-14,2.17,0.51,4.99
Andalucía,2020-03-15,2.2800000000000002,0.61,4.59
Andalucía,2020-03-16,2.0,0.56,3.9
Andalucía,2020-03-17,2.0300000000000002,0.63,3.71
Andalucía,2020-03-18,2.0,0.7000000000000001,3.5100000000000002
Andalucía,2020-03-19,1.93,0.36,3.39
Andalucía,2020-03-20,1.8900000000000001,0.46,3.24
Andalucía,2020-03-21,2.05,0.76,3.27
Andalucía,2020-03-22,1.9100000000000001,0.75,2.99
Andalucía,2020-03-23,1.94,0.92,2.92
Andalucía,2020-03-24,1.76,0.85,2.67
Andalucía,2020-03-25,1.68,0.84,2.5100000000000002
Andalucía,2020-03-26,1.7,0.93,2.46
Andalucía,2020-03-27,1.6300000000000001,0.93,2.35
Andalucía,2020-03-28,1.37,0.6900000000000001,2.04
Andalucía,2020-03-29,1.42,0.77,2.05
Andalucía,2020-03-30,1.35,0.75,1.98
Andalucía,2020-03-31,1.37,0.78,1.95
Andalucía,2020-04-01,1.36,0.8,1.92
Andalucía,2020-04-02,1.29,0.76,1.84
Andalucía,2020-04-03,1.22,0.7000000000000001,1.75
Andalucía,2020-04-04,1.29,0.78,1.79
Andalucía,2020-04-05,1.22,0.74,1.73
Andalucía,2020-04-06,1.21,0.74,1.7
Andalucía,2020-04-07,1.17,0.71,1.6500000000000001
Andalucía,2020-04-08,1.1300000000000001,0.65,1.57
Andalucía,2020-04-09,1.12,0.67,1.58
Andalucía,2020-04-10,1.1300000000000001,0.7000000000000001,1.6
Andalucía,2020-04-11,1.05,0.61,1.5
Andalucía,2020-04-12,0.9400000000000001,0.5,1.4000000000000001
Andalucía,2020-04-13,0.91,0.46,1.37
Andalucía,2020-04-14,0.87,0.4,1.32
Andalucía,2020-04-15,0.8300000000000001,0.36,1.3
Andalucía,2020-04-16,0.72,0.25,1.22
Andalucía,2020-04-17,0.71,0.23,1.23
Andalucía,2020-04-18,0.6900000000000001,0.19,1.22
Andalucía,2020-04-19,0.8,0.28,1.35
Andalucía,2020-04-20,0.75,0.21,1.3
Andalucía,2020-04-21,0.77,0.22,1.34
Andalucía,2020-04-22,0.78,0.22,1.37
